ps_CourseCode,course_Name,grade_Level,department,course_Id
11242Y00ZV,Chinese IV (HS CRED) VPS,Middle School,World Lang,
11245X0000,Honors Chinese IV,,,593180
11245X0003,Honors Chinese Civilization & Culture II,,,593182
11245X0800,Honors Chinese IV,,,593180
11245X0803,Honors Chinese Civilization & Culture II,,,593182
11265X0800,Chinese VI Honors,High School,World Lang,593182
11292YA800,Chinese Heritage I/Immer-Pt A (HS Cred),Middle School,World Lang,593183
11292YB800,Chinese Heritage I/Immer-Pt B (HS Cred),Middle School,World Lang,593184
11302Y0800,Chinese II Heritage-Immersion (HS Cred),Middle School,World Lang,593185
11312Y6900,Chinese DLI Literacy Grade 6,Middle School,World Lang,593182
11402Y0400,Middle School Spanish,Middle School,World Lang,593158
11412X0000,Spanish I,,,593165
11412X0020,Spanish I IGCSE,,,593165
11412X0040,IB MYP Spanish I,,,593165
11412X0800,Spanish I,,,593165
11412X0820,Spanish I IGCSE,,,593165
11412Y00ZV,Spanish I (HS Cred) VPS,,,
11412Y0800,Spanish I (HS Cred),,,593165
11412Y08ZV,Spanish I (HS Cred) VPS,,,
11412Y0900,,,,593165
11412YA800,Spanish I (Part A) (HS Cred),,,593165
11412YA900,,,,593165
11412YB800,Spanish I (Part B) (Hs Cred),,,593165
11412YB900,,,,593165
11422X0000,Spanish II,,,593172
11422X000V,Spanish II VPS,,,
11422X0020,Spanish II IGCSE,,,593172
11422X0040,IB MYP Spanish II,,,593172
11422X0800,Spanish II,,,593172
11422X0820,Spanish II IGCSE,,,593172
11422X0840,IB MYP Spanish II,,,593172
11422Y0800,Spanish II (HS Cred),,,593172
11422Y08ZV,Spanish II (HS Cred) VPS,,,
11435X0000,Honors Spanish III,,,593179
11435X0001,Honors Spanish Civilization & Culture I,,,593182
11435X000V,Honors Spanish III VPS,,,
11435X0020,Spanish III IGCSE,,,593179
11435X0040,IB MYP Spanish III,,,593179
11435X0800,Honors Spanish III,,,593179
11435X0820,Spanish III IGCSE,,,593179
11435X0840,IB MYP Spanish III,,,593179
11445X0000,Honors Spanish IV,,,593180
11445X0001,Honors Spanish Civilization & Culture II,,,593182
11445X000V,Honors Spanish IV VPS,,,
11445X0800,Honors Spanish IV,,,593180
11475X0000,Honors Spanish VII,High School,World Lang,593182
11492X0000,Spanish for Native Speakers I,,,590276
11492X0800,Spanish for Native Speakers I,,,590276
11492Y0800,Spanish for Native Spkrs I (HS Cred),,,590276
11492YA800,Spanish for Native Spkr I-Pt A (HS Cred),,,590276
11492YB800,Spanish for Native Spkr I-Pt B (HS Cred),,,590276
11502Y0800,Spanish for Native Spkrs  II (HS Cred),,,590277
11505X0000,Honors Spanish for Native Speakers II,,,590277
11505X0800,Honors Spanish for Native Speakers II,,,590277
11512Z1900,Spanish DLI Literacy Grade 1,,,
11512Z2900,Spanish DLI Literacy Grade 2,,,
11512Z3900,Spanish DLI Literacy Grade 3,,,
11512Z4900,Spanish DLI Literacy Grade 4,,,
11512Z5900,Spanish DLI Literacy Grade 5,,,
11612X0000,German I,,,593163
11612X000V,German I VPS,,,
11612X0040,IB MYP German I,,,593163
11612X0800,German I,,,593163
11612Y040V,German I (HS Cred) NCVPS,,,
11612YA800,German I (Part A) (HS Cred),,,593163
11612YB800,German I (Part B) (HS Cred),,,593163
11622X0000,German II,,,593170
11622X000V,German II VPS,,,
11622X0040,IB MYP German II,,,593170
11622X0800,German II,,,593170
11622Y0800,German II (HS Cred),,,593170
11635X0000,Honors German III,,,593177
11635X0001,Honors German Civilization & Culture I,,,593182
11635X0040,IB MYP German III,,,593177
11635X0800,Honors German III,,,593177
11635X0840,IB MYP German III,,,593177
11645X0000,Honors German IV,,,593180
11645X0001,Honors German Civilization & Culture II,,,593182
11645X0800,Honors German IV,,,593180
11665X0800,Honors German VI,High School,World Lang,593182
11692YA800,German Heritage I/Immer-Pt A (HS Cred),,,593189
11692YB800,German Heritage I/Immer-Pt B (HS Cred),,,593190
11702Y0800,German Heritage II-Immersion (HS Cred),,,593191
11712Y6900,German DLI Literacy Grade 6,Middle School,World Lang,593182
11812X0000,Japanese I,,,593164
11812X000V,Japanese I VPS,,,
11812Y00ZV,Japanese I (HS Cred) NCVPS,,,
11812Y08ZV,Japanese I (HS Cred) NCVPS,,,
11812YA800,Japanese I (Part A) (HS Cred),,,593164
11812YB800,Japanese I (Part B) (HS Cred),,,593164
11822X0000,Japanese II,,,593171
11822X000V,Japanese II VPS,,,
11822Y0800,Japanese II (HS Cred),,,593171
11832Y000V,Japanese III (HS Cred) VPS,,World Lang,
11835X0000,Honors Japanese III,,,593178
11835X0001,Honors Japanese Civilization & Culture I,,,593182
11835X000V,Honors Japanese III VPS,,,
11845X0000,Honors Japanese IV,,,593180
11845X0001,Honors Japanese Civil & Culture II,,,593182
11865X0800,Honors Japanese VI,High School,World Lang,593182
11892YA800,Japanese Heritage I/Immer-Pt A (HS Cred),,,593192
11892YB800,Japanese Heritage I/Immer-Pt B (HS Cred),,,593193
11902Y0800,Japanese Heritage II-Immersion (HS Cred),,,593194
11912Y6900,Japanese DLI Literacy Grade 6,Middle School,World Lang,593182
11912Y7900,Japanese DLI Literacy Grade 7,Middle School,World Lang,593182
12012X000V,Russian I (VPS),,World Lang,
12212X000V,Arabic I VPS,,,
12222X0000,Arabic II,,,593167
12222X000V,Arabic II VPS,,,
12402Y040L,Exploratory Latin 6th,Middle School,World Lang,593181
12412X0000,Latin I,,,593181
12412X0040,IB MYP Latin I,,,593181
12412Y08ZV,Latin I (HS CRED) VPS,,,
12412YA800,Latin I (Part A) (HS Cred),,,593181
12412YB800,Latin I (Part B) (HS Cred),,,593181
12422X0000,Latin II,,,593181
12422X0040,IB MYP Latin II,,,593181
12435X0000,Honors Latin III,,,593181
12435X0040,IB MYP Latin III,,,593181
12752Y000F,Exploratory French 6th,Middle School,World Lang,593157
12752Y000S,Exploratory Spanish 6th,Middle School,World Lang,593158
12752Y040C,Exploratory Chinese 6th Grade,Middle School,World Lang,
12752Y040F,Exploratory French 6th,Middle School,World Lang,593157
12752Y040S,Exploratory Spanish 6th,Middle School,World Lang,593158
12752Y060C,Exploratory Chinese 6th Grade,Middle School,World Lang,
12752Y060F,Exploratory French 6th,Middle School,World Lang,593157
12752Y060S,Exploratory Spanish 6th,Middle School,World Lang,593158
12752Y080S,Exploratory Spanish 6th,,World Lang,593158
12752Z060S,Exploratory Spanish (K-5),,World Lang,593151
12752Z080A,Exploratory Arabic (K-5),,World Lang,
12752Z080S,Exploratory Spanish Kindergarten,Elementary School,World Lang,593151
12752Z081S,Exploratory Spanish Grade 1,Elementary School,World Lang,593152
12752Z082S,Exploratory Spanish Grade 2,Elementary School,World Lang,593153
12752Z083S,Exploratory Spanish Grade 3,Elementary School,World Lang,593154
12752Z084S,Exploratory Spanish Grade 4,Elementary School,World Lang,593155
12752Z085S,Exploratory Spanish Grade 5,Elementary School,World Lang,593156
12752Z08C0,Exploratory Chinese (K-5),,World Lang,
12752Z08C1,Chinese Exploratory after 1 year,,World Lang,
12752Z08C2,Chinese Exploratory after 2 years,,,593153
12752Z08F0,Exploratory French (K-5),,World Lang,
12752Z08F1,French Exploratory after 1 year,,World Lang,
12752Z08F2,French Exploratory after 2 years,,,593153
12752Z08G0,Exploratory German (K-5),,World Lang,
12752Z08G1,German Exploratory after 1 year,,World Lang,
12752Z08G2,German Exploratory after 2 years,,,593153
12812X0001,ASL I,,World Lang,593159
12812X000V,American Sign Language I VPS,,World Lang,
12812X0801,ASL I,,World Lang,593159
12812Y000V,American Sign Language 1 VPS,,World Lang,
12822X0002,ASL II,,World Lang,593166
12822X000V,American Sign Language II VPS,,World Lang,
12822X0800,ASL II,,World Lang,593166
12822X080Y,ASL II,,,
12835X0000,ASL III Honors,,World Lang,593173
1A007X0000,AP English Language and Composition,,,
1A007X0800,AP English Language and Composition,,,
1A007X080V,AP English Lang and Composition VPS,,,
1A017X0000,AP English Literature and Composition,,,
1A017X0800,AP English Literature and Composition,,,
1A017X080V,AP English Literature and Comp VPS,,,
1A027X0800,AP Chinese Language and Culture,,,
1A037X0800,AP French Language and Culture,,,
1A047X0800,AP German Language and Culture,,,
1A067X0800,AP Japanese Language and Culture,,,
1A087X0000,AP Spanish Language and Culture,,,
1A087X0800,AP Spanish Language and Culture,,,
1A097X0800,AP Spanish Literature and Culture,,,
1C025X0000,ENG111 Writing and Inquiry,,,
1C035X0000,ENG112 Writing/Research in the Dsplns,,,
1C055X0000,ENG114 Prof Research and Reporting,,,
1C075X0000,ENG231 American Literature I,,,
1C085X0000,ENG232 American Literature II,,,
1C115X0000,ENG241 British Literature I,,,
1C125X0000,ENG242 British Literature II,,,
1C145X0000,SPA111 Elementary Spanish I,,,
1C165X0000,SPA112 Elementary Spanish II,,,
1C195X0000,SPA211 Intermediate Spanish I,,,
1C235X0000,ENG125 Creative Writing I,,,
1C265X0000,FRE111 Elementary French I,,,
1C325X0000,FRE112 Elementary French II,,,
1C445X0000,GER112 Elementary German II,,,
1C785X0000,ASL112 Elementary Amer Sign Lang II,,,
1C865X0000,GER111 Elementary German I,,,
1D315X0111,ASL111 Elementary ASL I,,,
1I038X0810,IB Language A- Literature HL I,,,
1I038X0820,IB Language A- Literature HL II,,,
1I058X0810,IB Language B: French SL I,,,
1I058X0820,IB Language B: French SL II,,,
1I068X0820,IB Language B: French HL II,,,
1I078X0810,IB Language B: German SL I,,,
1I078X0820,IB Language B: German SL II,,,
1I088X0820,IB Language B: German HL II,,,
1I118X0810,IB Language B: Latin SL I,,,
1I118X0820,IB Language B: Latin SL II,,,
1I128X0820,IB Language B: Latin HL II,,,
1I138X0810,IB Language B: Mandarin SL I,,,
1I138X0820,IB Language B: Mandarin SL II,,,
1I148X0820,IB Language B: Mandarin HL II,,,
1I158X0810,IB Language B: Spanish SL I,,,
1I158X0820,IB Language B: Spanish SL II,,,
1I168X0810,IB Language B: Spanish HL I,,,
1I168X0820,IB Language B: Spanish HL II,,,
1V008X0800,CIE English Language AS,,,
1V028X0800,CIE English Literature AS,,,
1V068X0000,CIE French Language AS,High School,World Lang,593180
1V088X0800,CIE English General Paper AS,,,
20002Y0880,Math 6th SI,Middle School,Math,590620
20002Y0881,Math 7th SI,Middle School,Math,590750
20002Y0882,Math 8th SI,Middle School,Math,590752
20002Y0980,Math 6th SI,Middle School,Math,590620
20002Y0981,Math 7th SI,Middle School,Math,590750
20002Y0982,Math 8th SI,Middle School,Math,590752
20002Z0900,Math Kindergarten,Elementary School,Math,591272
20002Z090C,Math Kindergarten (Chinese),Elementary School,Math,591272
20002Z090F,Math Kindergarten (French),Elementary School,Math,591272
20002Z090G,Math Kindergarten (German),Elementary School,Math,591272
20002Z090J,Math Kindergarten (Japanese),Elementary School,Math,591272
20002Z090S,Math Kindergarten (Spanish),Elementary School,Math,591272
2000AZ0900,Math Kindergarten,Elementary School,Math,591272
20012Z0900,Math Grade 1,Elementary School,Math,591288
20012Z090C,Math Grade 1 (Chinese),Elementary School,Math,591288
20012Z090F,Math Grade 1 (French),Elementary School,Math,591288
20012Z090G,Math Grade 1 (German),Elementary School,Math,591288
20012Z090J,Math Grade 1 (Japanese),Elementary School,Math,591288
20012Z090S,Math Grade 1 (Spanish),Elementary School,Math,591288
2001AZ0900,Math Grade 1,Elementary School,Math,591288
20022Z0900,Math Grade 2,Elementary School,Math,593142
20022Z090C,Math Grade 2 (Chinese),Elementary School,Math,593142
20022Z090F,Math Grade 2 (French),Elementary School,Math,593142
20022Z090G,Math Grade 2 (German),Elementary School,Math,593142
20022Z090J,Math Grade 2 (Japanese),Elementary School,Math,593142
20022Z090S,Math Grade 2 (Spanish),Elementary School,Math,593142
2002AZ0900,Math Grade 2,Elementary School,Math,593142
20032Z0900,Math Grade 3,Elementary School,Math,591335
20032Z090C,Math Grade 3 (Chinese),Elementary School,Math,591335
20032Z090F,Math Grade 3 (French),Elementary School,Math,591335
20032Z090G,Math Grade 3 (German),Elementary School,Math,591335
20032Z090J,Math Grade 3 (Japanese),Elementary School,Math,591335
20032Z090S,Math Grade 3 (Spanish),Elementary School,Math,591335
2003AZ0900,Math Grade 3,Elementary School,Math,591335
20042Z0900,Math Grade 4,Elementary School,Math,591293
20042Z090C,Math Grade 4 (Chinese),Elementary School,Math,591293
20042Z090F,Math Grade 4 (French),Elementary School,Math,591293
20042Z090G,Math Grade 4 (German),Elementary School,Math,591293
20042Z090J,Math Grade 4 (Japanese),Elementary School,Math,591293
20042Z090S,Math Grade 4 (Spanish),Elementary School,Math,591293
2004AZ0900,Math Grade 4,Elementary School,Math,591293
20052Z0900,Math Grade 5,Elementary School,Math,591292
20052Z090C,Math Grade 5 (Chinese),Elementary School,Math,591292
20052Z090F,Math Grade 5 (French),Elementary School,Math,591292
20052Z090G,Math Grade 5 (German),Elementary School,Math,591292
20052Z090J,Math Grade 5 (Japanese),Elementary School,Math,591292
20052Z090S,Math Grade 5 (Spanish),Elementary School,Math,591292
2005AZ0900,Math Grade 5,Elementary School,Math,591292
20062Y0800,Math Grade 6,Middle School,Math,590620
20062Y0900,Math Grade 6,Middle School,Math,590620
20062Y090S,Math Grade 6 (Spanish),Middle School,Math,590620
20062Y0920,Math Cambridge Grade 6,Middle School,Math,590682
2006AY0900,Math Grade 6,Middle School,Math,
20072Y0800,Math Grade 7,Middle School,Math,590750
20072Y0900,Math Grade 7,Middle School,Math,590750
20072Y090S,Math Grade 7 (Spanish),Middle School,Math,590750
20072Y0920,Math Cambridge Grade 7,Middle School,Math,590751
20072Y0970,Math Grade 7 SI,Middle School,Math,590750
2007AY0900,Math Grade 7,Middle School,Math,
20082Y0800,Math Grade 8,Middle School,Math,590752
20082Y0900,Math Grade 8,Middle School,Math,590752
20082Y090S,Math Grade 8 (Spanish),Middle School,Math,590752
20082Y0920,Math Cambridge Grade 8,Middle School,Math,590752
20082Y0940,IB MYP Math Grade 8,Middle School,Math,590752
20082Y0941,IB MYP Honors Math Grade 8,Middle School,Math,
20082Y0970,Math Grade 8 SI,Middle School,Math,590752
2008AY0900,Math Grade 8,Middle School,Math,
20092Y0900,Honors Math Grade 6,Middle School,Math,590682
20092Y090S,Honors Math Grade 6 (Spanish),Middle School,Math,590682
20092Y0940,IB MYP Math Grade 6,Middle School,Math,590620
20092Y0941,IB MYP Honors Math Grade 6,Middle School,Math,590682
20122Y0041,IB MYP Honors Math Grade 7,Middle School,Math,590751
20122Y0900,Honors Math Grade 7,Middle School,Math,590751
20122Y090S,Honors Math Grade 7 (Spanish),Middle School,Math,590751
20122Y0940,IB MYP Math Grade 7,Middle School,Math,590750
20122Y0941,IB MYP Honors Math Grade 7,Middle School,Math,590751
20132X0000,CCRG Math,,Math,
20202X0000,Introductory Mathematics,,Math,
20902X0800,Foundations of NC Math 1,,,590754
20902X080Y,Foundations of NC Math 1,,,590754
20902X0870,Foundations of NC Math 1 SI,,,590754
20902X0XRY,XR Foundations of NC Math 1,,,
20912X0000,Foundations of NC Math 2,,,
20912X0070,Foundations of NC Math 2 SI,,,
20912X0800,Foundations of NC Math 2,,,
20912X0XRY,XR Foundations of NC Math 2,,,
20922X0000,Foundations of NC Math 3,,,
20922X0070,Foundations of NC Math 3 SI,,,
20922X0800,Foundations of NC Math 3,,,
21092X0000,NC Math 1,High School,Math,590755
21092X0001,Intensified NC Math 1,High School,Math,590755
21092X000V,NC Math 1 VPS,High School,Math,590755
21092X0040,IB MYP NC Math 1 Standard,High School,Math,590755
21092X0070,NC Math 1 SI,High School,Math,590755
21092X00XR,XR NC Math 1,High School,Math,
21092X0800,NC Math 1,High School,Math,590753
21092X0801,NC Math 1,High School,Math,590753
21092X080C,NC Math 1,High School,Math,590753
21092X080V,NC Math 1 VPS,High School,Math,590753
21092X0840,IB MYP NC Math 1 Standard,High School,Math,590753
21092X0870,NC Math 1 SI,High School,Math,590753
21092X087C,NC Math 1 SI,High School,Math,590753
21092X0XRY,XR NC Math 1,,,
21092Y0000,NC Math 1 (HS Cred),Middle School,Math,590759
21092Y00ZV,NC Math 1 (HS Cred) VPS,Middle School,Math,590759
21092Y0800,NC Math 1 (HS Cred),Middle School,Math,590759
21092Y0900,NC Math 1 (HS CRED),Middle School,Math,590759
21092Y090S,Math I (Year Long) (Spanish),Middle School,Math,590759
21092Y0920,NC Math 1 IGCSE (HS Cred),Middle School,Math,590759
21092Y09ZV,NC Math 1 (HS Cred) VPS,Middle School,Math,590759
21092Y0L9S,NC Math 1 (HS Cred) Spanish,Middle School,Math,590759
21095X0000,Honors NC Math 1,High School,Math,590755
21095X000V,NC Math 1 Honors VPS,High School,Math,590755
